bin,lo,hi,count,avg_p,emp_rate
0,0.0,0.1,669,0.043965573472805025,0.03139013452914798
1,0.1,0.2,378,0.14727687483572918,0.1746031746031746
2,0.2,0.30000000000000004,242,0.24630061057394512,0.256198347107438
3,0.30000000000000004,0.4,280,0.34960396087894596,0.35714285714285715
4,0.4,0.5,208,0.44434893248239515,0.39903846153846156
5,0.5,0.6000000000000001,117,0.5490641259129129,0.5897435897435898
6,0.6000000000000001,0.7000000000000001,75,0.6452258726306324,0.6933333333333334
7,0.7000000000000001,0.8,33,0.7320457638830374,0.696969696969697
8,0.8,0.9,16,0.8582214543462018,0.8125
9,0.9,1.0,14,0.949875990372938,1.0
